Date,CAC Real,CAC Predicted,FTSE Real,FTSE Predicted,MDAX Real,MDAX Predicted,SP500 Real,SP500 Predicted,TOPIX Real,TOPIX Predicted
2020-09-21,4792.04,5029.5127,5804.29,6090.205,26499.95,27588.848,3281.06,3318.015,1646.42,1603.7118
2020-09-22,4772.84,5001.068,5829.46,6120.688,26599.84,27060.604,3315.57,3252.0317,1646.42,1578.849
2020-09-23,4802.26,5010.1025,5899.26,6111.6167,26775.95,26685.781,3236.92,3303.9888,1644.25,1600.3796
2020-09-24,4762.619999999999,5010.947,5822.78,6090.1304,26424.05,27147.81,3246.5899999999997,3346.4788,1626.44,1633.8588
2020-09-25,4729.66,5004.208,5842.67,6113.152,26452.76,27379.111,3298.46,3327.797,1634.23,1634.9114
2020-09-28,4843.27,5012.394,5927.93,6074.8545,26966.92,27245.035,3351.6,3364.9092,1661.93,1589.7164
2020-09-29,4832.07,5002.923,5897.499999999999,6065.3726,26969.27,27582.791,3335.47,3338.3313,1658.1000000000001,1594.73
2020-09-30,4803.44,5008.688,5866.1,6038.7153,27006.81,27512.812,3363.0,3312.4429,1625.4899999999998,1605.8962
2020-10-01,4824.04,5005.934,5879.45,5994.1577,27348.269999999997,27350.314,3380.8,3300.724,1625.4899999999998,1577.9822
2020-10-02,4824.88,5008.806,5902.12,6076.3105,27249.15,27233.58,3348.44,3288.1543,1609.22,1580.7394
2020-10-05,4871.87,5000.688,5942.939999999999,6077.1406,27706.29,27245.22,3408.63,3294.9927,1637.25,1595.8844
2020-10-06,4895.46,5006.0713,5949.94,6026.5894,27668.0,27147.176,3360.95,3273.7852,1645.75,1609.2362
2020-10-07,4882.0,4998.629,5946.250000000001,6055.9272,27617.709999999995,27111.379,3419.45,3291.4263,1646.47,1620.9349
2020-10-08,4911.94,4994.859,5978.030000000001,6019.8804,27835.110000000004,27564.729,3446.83,3364.1377,1655.47,1619.8257
2020-10-09,4946.81,5015.0127,6016.650000000001,6027.4834,28003.13,27655.021,3477.13,3330.0254,1647.38,1637.5342
2020-10-12,4979.29,5017.7607,6001.38,6102.004,28158.280000000002,27537.451,3534.2200000000003,3285.5205,1643.35,1623.5574
2020-10-13,4947.61,5005.778,5969.710000000001,6081.199,27876.040000000005,27672.287,3511.93,3263.6487,1649.1,1617.5435
2020-10-14,4941.66,5002.8467,5935.06,6056.6133,27888.65,27258.506,3488.6700000000005,3240.8228,1643.8999999999999,1645.4608
2020-10-15,4837.42,4998.0586,5832.52,6063.351,27462.630000000005,26895.324,3483.3400000000006,3309.729,1631.79,1615.0205
2020-10-16,4935.86,5007.5786,5919.58,6126.0273,27765.199999999997,27181.629,3483.8100000000004,3349.9312,1617.6899999999998,1632.033
2020-10-19,4929.27,5012.4946,5884.65,6095.1436,27815.35,27071.686,3426.92,3412.3088,1637.9799999999998,1579.5509
2020-10-20,4929.28,5001.8364,5889.22,6119.176,27692.890000000003,27768.43,3443.12,3397.6123,1625.7399999999998,1567.2908
2020-10-21,4853.95,5015.317,5776.5,6138.2783,27165.35,28064.336,3435.56,3393.0923,1637.6,1542.6123
2020-10-22,4851.379999999999,5011.33,5785.65,6175.385,27189.17,28295.643,3453.4900000000002,3378.7139,1619.79,1598.0302
2020-10-23,4909.639999999999,5762.4917,5860.28,6171.2686,27279.59,27781.89,3465.39,3366.0945,1625.3199999999997,1617.5273
2020-10-26,4816.120000000001,5009.1084,5792.01,6166.704,26703.58,27490.535,3400.97,3341.6804,1618.98,1605.4979
2020-10-27,4730.66,4999.2065,5728.990000000001,6070.7446,26604.78,27838.883,3390.6800000000003,3347.985,1617.5300000000002,1621.9148
2020-10-28,4571.12,5006.6655,5582.8,6107.067,25884.13,28120.684,3271.0299999999997,3344.6694,1612.55,1643.5916
2020-10-29,4569.67,5005.739,5581.75,6118.3193,25801.82,28161.643,3310.11,3371.5803,1610.93,1659.764
2020-10-30,4594.24,5003.768,5577.27,6116.3335,25721.0,28266.4,3269.96,3364.1118,1579.3300000000002,1617.2596
2020-11-02,4691.14,5063.9736,5654.97,6122.032,26079.23,27922.895,3310.24,3244.0713,1607.95,1597.2103
2020-11-03,4805.61,5012.2275,5786.77,5977.935,26571.82,27505.48,3369.16,3242.5315,1607.95,1589.9297
2020-11-04,4922.85,5011.8794,5883.26,5957.153,27241.37,27819.125,3443.44,3281.8843,1627.25,1535.0001
2020-11-05,4983.99,5009.681,5906.18,5892.144,27498.939999999995,27540.488,3510.45,3362.149,1649.94,1598.367
2020-11-06,4960.88,5010.112,5910.02,5826.557,27346.290000000005,26223.78,3509.4399999999996,3379.359,1658.49,1608.8286
2020-11-09,5336.32,5009.3643,6186.289999999999,5915.5864,27793.97,27270.668,3550.5,3303.8027,1681.9,1547.5983
2020-11-10,5418.97,5004.7246,6296.85,5989.7036,27984.819999999996,26471.691,3545.5300000000007,3371.3462,1700.8,1542.1581
2020-11-11,5445.21,5020.882,6382.1,6007.762,28408.82,23967.082,3572.66,3346.3079,1729.0699999999997,1576.4563
2020-11-12,5362.570000000001,5094.2485,6338.94,6095.977,28334.020000000004,26288.508,3537.01,3360.365,1726.23,1604.3878
2020-11-13,5380.16,5070.872,6316.389999999999,6226.6875,28512.959999999995,27083.459,3585.15,3323.0522,1703.22,1609.4863
2020-11-16,5471.48,5303.995,6421.29,6685.905,28732.110000000004,27627.8,3626.91,3298.8647,1731.81,1651.9174
2020-11-17,5483.000000000001,5449.2515,6365.33,6877.723,28650.69,27730.875,3609.5299999999997,3261.8477,1734.66,1618.7153
2020-11-18,5511.45,5190.541,6385.24,6428.2725,28799.05,27173.883,3567.7899999999995,3243.8965,1720.65,1595.0911
2020-11-19,5474.660000000001,5030.223,6334.35,6082.216,28745.5,27003.762,3581.8699999999994,3300.5134,1726.41,1561.3912
2020-11-20,5495.89,5059.857,6351.45,6173.596,28998.470000000005,26609.756,3557.54,3233.173,1727.39,1572.3813
2020-11-23,5492.15,5189.112,6333.84,6318.772,28998.579999999998,26937.441,3577.59,3213.2566,1727.39,1590.1589
2020-11-24,5558.42,5492.021,6432.170000000001,6667.7363,29029.42,26948.05,3635.41,3208.9104,1762.4,1594.3456
2020-11-25,5571.29,5941.704,6391.09,7391.3965,29029.48,27696.14,3629.65,3245.5427,1767.67,1654.6918
2020-11-26,5566.79,5998.291,6362.93,7477.837,29146.11,28751.322,3629.65,3342.138,1778.25,1679.6375
2020-11-27,5598.18,6000.475,6367.579999999999,7490.202,29374.63,28410.652,3638.3499999999995,3280.732,1786.52,1712.4084
2020-11-30,5518.55,6005.8535,6266.19,7528.9277,29301.46,28406.275,3621.63,3246.437,1754.92,1711.9941
2020-12-01,5581.64,6002.6724,6384.73,7481.976,29352.27,28793.812,3662.4499999999994,3331.4329,1768.38,1709.6958
2020-12-02,5583.01,5907.545,6463.39,7363.318,29242.440000000002,28980.598,3669.01,3338.2476,1773.97,1692.7258
2020-12-03,5574.36,5597.3394,6490.27,7171.0835,29287.180000000004,28025.537,3666.7199999999993,3314.506,1775.2500000000002,1709.9479
2020-12-04,5609.15,4480.3267,6550.23,5778.354,29517.75,25843.656,3699.1199999999994,3038.1924,1775.94,1571.4403
2020-12-07,5573.38,4539.0166,6555.39,5842.564,29474.439999999995,23659.432,3691.9600000000005,3312.93,1760.75,1512.298
2020-12-08,5560.67,4736.337,6558.82,6148.964,29653.860000000004,25219.879,3702.25,3039.5078,1758.8099999999997,1486.3729
2020-12-09,5546.82,5421.6714,6564.29,6872.5312,29620.95,28210.451,3672.82,3298.0164,1779.42,1564.6417
2020-12-10,5549.65,5942.314,6599.760000000001,7442.772,29689.129999999997,28622.24,3668.1,3296.7483,1776.21,1718.3423
2020-12-11,5507.55,5975.895,6546.75,7495.805,29608.5,28677.156,3663.46,3307.2834,1782.01,1715.4293
2020-12-14,5527.839999999999,5996.508,6531.83,7523.8545,29727.59,28637.738,3647.49,3334.3962,1790.5199999999998,1703.3528
2020-12-15,5530.310000000001,6007.0176,6513.32,7524.2246,29743.89,28959.72,3694.6199999999994,3356.1995,1782.0499999999997,1691.6617
2020-12-16,5547.68,5995.921,6570.91,7395.3833,29974.13,28733.805,3701.17,3369.3923,1786.83,1691.6787
2020-12-17,5549.46,5626.126,6551.06,6148.5874,30205.17,27883.969,3722.48,3352.835,1792.58,1691.1053
2020-12-18,5527.839999999999,5224.2676,6529.18,5998.4663,30405.62,27029.104,3709.41,3294.051,1793.2400000000002,1660.0493
2020-12-21,5393.34,4777.858,6416.32,5947.7046,29866.469999999998,27501.857,3694.92,3222.731,1789.05,1595.791
2020-12-22,5466.86,4902.7363,6453.16,5897.3296,30233.409999999996,27924.27,3687.26,3201.3413,1761.12,1600.9675
2020-12-23,5527.59,4559.674,6495.750000000001,5679.584,30413.790000000005,24884.445,3690.01,2778.423,1765.21,1586.4882
2020-12-24,5522.01,4805.6323,6502.11,6060.545,30413.790000000005,24875.219,3703.06,2836.3083,1774.27,1549.0858
