Date,Source,Headline,Lead Paragraph,URL
2020-10-01,The New York Times,"Italy’s daily new cases topped 2,000 for the first time since April.","Italy registered a number of infections exceeding 2,000 for the first time since April on Thursday, when 2,548 residents tested positive for coronavirus in one day.",https://www.nytimes.com/2020/10/01/world/italys-daily-new-cases-topped-2000-for-the-first-time-since-april.html
2020-10-01,The New York Times,"Citing security, Texas governor limits counties to one spot each for in-person ballot drop-offs.",Gov. Greg Abbott of Texas issued a proclamation on Thursday ordering counties to offer only one location for voters to drop off mail-in ballots in person.,https://www.nytimes.com/2020/10/01/us/elections/citing-security-texas-governor-limits-counties-to-one-spot-each-for-in-person-ballot-drop-offs.html
2020-10-01,The New York Times,"A day after refusing to condemn white supremacists, Trump aims a xenophobic attack at Ilhan Omar.","A day after he refused to condemn white supremacists at the first presidential debate, President Trump unleashed a xenophobic attack on Representative Ilhan Omar at a rally in Minnesota Wednesday night, accusing her of telling “us” — meaning his overwhelmingly white audience — “how to run our country.”",https://www.nytimes.com/2020/10/01/us/elections/trump-ilhan-omar.html
2020-10-01,The New York Times,Membership of Anti-Mask Facebook Groups Jumps Sharply,It’s no surprise that people pushing anti-mask arguments popped up online around the time the coronavirus pandemic hit the United States in March and April.,https://www.nytimes.com/2020/10/01/technology/membership-of-anti-mask-facebook-groups-jumps-sharply.html
2020-10-01,The New York Times,"Despite Billions in Fees, Banks Predict Meager Profits on P.P.P. Loans","Loath to be seen profiting from the economic disaster caused by the coronavirus, the nation’s biggest banks were quick to pledge that they would donate to charity any money earned from helping deliver the government’s signature small-business relief plan.",https://www.nytimes.com/2020/10/01/business/ppp-loans-bank-profits.html
2020-10-01,The New York Times,"After 2 Years of Paralysis, Belgium Forms a (Very Fragile) Government","BRUSSELS — For nearly two years, Belgium has been without a formal government, leaving a country that was already divided by language and politics to endure a pandemic with lame-duck caretakers wielding emergency powers.",https://www.nytimes.com/2020/10/01/world/europe/belgium-government-coalition.html
2020-10-01,The New York Times,"Facing Grim Polls, Trump Leans Into Playing the Victim",[Follow our latest coverage of the Biden vs. Trump 2020 election.],https://www.nytimes.com/2020/10/01/us/politics/trump-polls-victim.html
2020-10-01,The New York Times,The Trump Debate Fallout,"Senate Republicans do the old dance around Trump and racism, while Biden presses his case in Ohio and Pennsylvania. Plus, a Q. and A. with Jim Rutenberg about his explosive voter-suppression investigation. It’s Thursday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday.",https://www.nytimes.com/2020/10/01/us/politics/trump-debate.html
2020-10-01,The New York Times,"Airlines, Facing a Painfully Slow Recovery, Begin Furloughing Thousands","When Congress gave passenger airlines a $50 billion bailout in March, industry executives hoped the aid would tide them over until the fall, when more people might be traveling and a vaccine might be closer at hand. Several months later, that hopeful future remains extremely murky.",https://www.nytimes.com/2020/10/01/business/airline-furloughs-coronavirus-united-american.html
2020-10-01,The New York Times,China’s ‘Golden Week’ Kicks Off in Boost to Battered Tourism Industry,"Along the Great Wall, extra security guards have been deployed to deter rowdy tourists. Hotel bookings in Lhasa, the capital of Tibet, have risen 600 percent from the same period last year. In Wuhan, where the coronavirus outbreak began late last year, visitor demand for the city’s Yellow Crane Tower has been so high that the landmark sits atop a major travel agency’s list of the “Country’s Hottest Scenic Spots.”",https://www.nytimes.com/2020/10/01/world/asia/china-tourism-covid.html
2020-10-01,The New York Times,A study found the ‘single largest driver’ of coronavirus misinformation. It was the president.,"Of the flood of misinformation, conspiracy theories and falsehoods seeding the internet on the coronavirus, one common thread stands out: President Trump.",https://www.nytimes.com/2020/10/01/us/elections/a-study-found-the-single-largest-driver-of-coronavirus-misinformation-it-was-the-president.html
2020-10-01,The New York Times,"In Supreme Court Fight, McSally Sees a Chance to Reboot Her Senate Campaign","Shortly after the death of Justice Ruth Bader Ginsburg, people close to Senator Martha McSally, the imperiled Arizona Republican, began calling in to offer their advice.",https://www.nytimes.com/2020/10/01/us/politics/martha-mcsally-supreme-court.html
2020-10-01,The New York Times,E.U. Brings Suit Against U.K. on Eve of Crucial Trade Talks,LONDON — A decision by the European Commission on Thursday to press ahead with legal action against Britain over its plans to override parts of an agreement on withdrawal from the bloc raises the stakes at a critical moment in talks that will determine whether the two sides can avert an economically ruinous rupture. ,https://www.nytimes.com/2020/10/01/world/europe/eu-britain-brexit-legal-action.html
2020-10-01,The New York Times,"The White House press secretary declines to explicitly denounce white supremacy, saying the president has already done so.","Kayleigh McEnany, the White House press secretary, repeatedly refused to denounce white supremacy on Thursday, insisting that President Trump had already done so and angrily accusing the media of refusing to accept his answer.",https://www.nytimes.com/2020/10/01/us/elections/the-white-house-press-secretary-declines-to-explicitly-denounce-white-supremacy-saying-the-president-has-already-done-so.html
2020-10-01,The New York Times,Take It or Leave It,Want this delivered to your inbox each day? Sign up here.,https://www.nytimes.com/2020/10/01/business/dealbook/palantir-direct-listing.html
2020-10-01,The New York Times,A YouTuber Hangs His Own Shingle With an Auction Website,"Making the most important pitch of his career, Doug DeMuro stood in cargo shorts in front of a camera, unwavering in his giddy demeanor. He was about to unveil his new car auction website to his 3.7 million YouTube subscribers. The site would feature cars “that I like most,” he said.",https://www.nytimes.com/2020/10/01/business/doug-demuro-youtube.html
2020-10-01,The New York Times,Turkey admits not including asymptomatic people in its count.,"Turkey has acknowledged that it was not making all confirmed coronavirus cases public in its daily announced tally, but counting only those patients showing symptoms.",https://www.nytimes.com/2020/10/01/world/turkey-admits-not-including-asymptomatic-people-in-its-count.html
2020-10-01,The New York Times,When Your Job Is to Make Sure Nov. 3 Isn’t a Disaster,A flood of mail-in ballots that will need processing. Foreign disinformation campaigns. A shortage of poll workers. And voters afraid of catching a potentially fatal disease at the ballot box.,https://www.nytimes.com/2020/10/01/us/voting-election.html
2020-10-01,The New York Times,Corporate America’s Role in the Fight for Racial Justice,"Corporate leaders have been pledging support for civil rights initiatives and re-examining their records on racial inequality, but critics contend that well-intentioned promises have had little effect. On this DealBook Debrief call, Nikole Hannah-Jones, a Pulitzer Prize-winning reporter for The Times Magazine and creator of the 1619 Project, said that “corporate America has a much, much larger role to play.”",https://www.nytimes.com/2020/08/07/business/dealbook/corporate-america-racial-justice.html
2020-10-01,The New York Times,Biden breaks the $365 million fund-raising record that he set in August.,Joseph R. Biden Jr. raised more money in August than any past presidential candidate had in a single month: $364.5 million. Now he has done it again.,https://www.nytimes.com/2020/10/01/us/elections/joe-biden-fundraising-record.html
2020-10-01,The New York Times,These people’s job is making sure Nov. 3 isn’t a disaster.,A flood of mail-in ballots that will need processing. Foreign disinformation campaigns. A shortage of poll workers. And voters afraid of catching a potentially fatal disease at the ballot box.,https://www.nytimes.com/2020/10/01/us/elections/these-peoples-job-is-making-sure-nov-3-isnt-a-disaster.html
2020-10-01,The New York Times,Unemployment claims in the U.S. show little relief from pandemic layoffs.,"American employers continue to cut jobs at rates that dwarf the pace of layoffs in past decades, even as the economy crawls forward from the coronavirus-induced recession that began last spring.",https://www.nytimes.com/2020/10/01/world/unemployment-claims-in-the-us-show-little-relief-from-pandemic-layoffs.html
2020-10-01,The New York Times,Facebook will forbid ads that undermine the legitimacy of the coming election.,"Facebook on Wednesday said it would prohibit the purchase of ads that seek to delegitimize the outcome of the Nov. 3 election, as the social network prepares for a turbulent next few weeks.",https://www.nytimes.com/2020/09/30/us/elections/facebook-will-forbid-ads-that-undermine-the-legitimacy-of-the-coming-election.html
2020-10-01,The New York Times,Subsidized furlough programs keep a lid on eurozone unemployment.,"The unemployment rate in the eurozone edged up to 8.1 percent in August from 8 percent in July, the European Union said Thursday, as government support cushioned much of the economic impact of the pandemic.",https://www.nytimes.com/2020/10/01/business/subsidized-furlough-programs-keep-a-lid-on-eurozone-unemployment.html
2020-10-01,The New York Times,"Tokyo Stock Market Halts Trading for a Day, Citing Glitch",TOKYO — The Tokyo Stock Exchange shut down for the day on Thursday as its operator raced to solve a technical glitch that halted equities trading throughout the world’s third- largest economy.,https://www.nytimes.com/2020/09/30/business/tokyo-stock-market-glitch.html
2020-10-01,The New York Times,Fraud Schemes Exploit Weak Spots in Unemployment Claims System,"The for-sale ad appeared last week in an underground internet bazaar that specializes in selling stolen accounts and data. It was for access to a filched unemployment insurance claim in California that had been approved and offered benefits worth $17,550.",https://www.nytimes.com/2020/10/01/business/economy/unemployment-benefits-fraud.html
2020-10-01,The New York Times,Russian Opposition Leader Navalny Says Putin Is Behind His Poisoning,"BERLIN — Aleksei A. Navalny, Russia’s most prominent opposition leader, who was poisoned in August in Siberia, says he has no doubt that President Vladimir V. Putin was behind the attack.",https://www.nytimes.com/2020/10/01/world/europe/navalny-poisoning-putin.html
2020-10-01,The New York Times,"In U.S.-China Tech Feud, Taiwan Feels Heat From Both Sides","TAINAN, Taiwan — The United States and China are wrestling to lead the world in artificial intelligence, 5G wireless and other cutting-edge technologies. But the real wizardry that makes those advancements possible is being performed on a yam-shaped island that sits between them, geographically and politically.",https://www.nytimes.com/2020/10/01/technology/taiwan-china-tsmc-huawei.html
2020-10-01,The New York Times,"For undecided voters, one thing is clear: The debate didn’t help.",“Useless.” “Ridiculous.” “Horrible.”,https://www.nytimes.com/2020/10/01/us/elections/for-undecided-voters-one-thing-is-clear-the-debate-didnt-help.html
2020-10-01,The New York Times,Inside the New Tech Cold War,"Tensions between China and the U.S. have climbed ever higher in recent months, with clashes over Chinese tech companies becoming a huge flash point. David Sanger, The Times’s national security correspondent, joined us for a DealBook Debrief call with readers to discuss the battle between Washington and Beijing over tech companies like Huawei and TikTok.",https://www.nytimes.com/2020/10/01/business/dealbook/tech-cold-war-us-china.html
2020-10-01,The New York Times,"Pence heads to Iowa, as Biden and Trump catch their breath and host fund-raisers.","Here are the daily schedules of the presidential and vice-presidential candidates for Thursday, Oct. 1. All times are Eastern time.",https://www.nytimes.com/2020/10/01/us/elections/pence-heads-to-iowa-as-biden-and-trump-catch-their-breath-and-host-fund-raisers.html
2020-10-01,The New York Times,A far-right group that trades in political violence has gotten a boost from Trump.,"When hundreds of supporters of President Trump gathered for a Labor Day rally in Oregon, a man in the signature black-and-gold shirt of the Proud Boys approached the crowd with a welcoming smile.",https://www.nytimes.com/2020/10/01/us/elections/a-far-right-group-that-trades-in-political-violence-has-gotten-a-boost-from-trump.html
2020-10-01,The New York Times,Facebook bans ads that aim to undermine the election.,"Facebook on Wednesday said it would prohibit the purchase of ads that seek to delegitimize the outcome of the election, as the social network prepares for a turbulent next few weeks.",https://www.nytimes.com/2020/10/01/us/elections/facebook-bans-ads-that-aim-to-undermine-the-election.html
2020-10-01,The New York Times,Help for the jobless has also been a bonanza for criminals.,The unemployment insurance system — the main artery for delivering financial assistance to laid-off workers — has been besieged during the coronavirus crisis by fraud schemes aimed at bilking the government out of hundreds of millions of dollars.,https://www.nytimes.com/2020/10/01/business/help-for-the-jobless-has-also-been-a-bonanza-for-criminals.html
