Date,Source,Headline,Lead Paragraph,URL,Headline Sentiment,Headline Sadness,Headline Joy,Headline Fear,Headline Disgust,Headline Anger,Lead Paragraph Sentiment,Lead Paragraph Sadness,Lead Paragraph Joy,Lead Paragraph Fear,Lead Paragraph Disgust,Lead Paragraph Anger
2020-10-01,The New York Times,"Italy’s daily new cases topped 2,000 for the first time since April.","Italy registered a number of infections exceeding 2,000 for the first time since April on Thursday, when 2,548 residents tested positive for coronavirus in one day.",https://www.nytimes.com/2020/10/01/world/italys-daily-new-cases-topped-2000-for-the-first-time-since-april.html,0.0,0.223045,0.653405,0.074037,0.028137,0.019463,-0.474495,0.213385,0.629091,0.102553,0.024029,0.019349
2020-10-01,The New York Times,"Citing security, Texas governor limits counties to one spot each for in-person ballot drop-offs.",Gov. Greg Abbott of Texas issued a proclamation on Thursday ordering counties to offer only one location for voters to drop off mail-in ballots in person.,https://www.nytimes.com/2020/10/01/us/elections/citing-security-texas-governor-limits-counties-to-one-spot-each-for-in-person-ballot-drop-offs.html,0.0,0.322699,0.091246,0.145323,0.148526,0.143236,-0.865934,0.470811,0.035511,0.020349,0.13689,0.118237
2020-10-01,The New York Times,"A day after refusing to condemn white supremacists, Trump aims a xenophobic attack at Ilhan Omar.","A day after he refused to condemn white supremacists at the first presidential debate, President Trump unleashed a xenophobic attack on Representative Ilhan Omar at a rally in Minnesota Wednesday night, accusing her of telling “us” — meaning his overwhelmingly white audience — “how to run our country.”",https://www.nytimes.com/2020/10/01/us/elections/trump-ilhan-omar.html,-0.710345,0.139055,0.008897,0.357865,0.565104,0.289598,-0.87428,0.064722,0.026939,0.231966,0.549263,0.493651
2020-10-01,The New York Times,Membership of Anti-Mask Facebook Groups Jumps Sharply,It’s no surprise that people pushing anti-mask arguments popped up online around the time the coronavirus pandemic hit the United States in March and April.,https://www.nytimes.com/2020/10/01/technology/membership-of-anti-mask-facebook-groups-jumps-sharply.html,0.0,0.365323,0.225491,0.037281,0.193551,0.326865,-0.813675,0.560665,0.139525,0.05709,0.132173,0.333184
2020-10-01,The New York Times,"Despite Billions in Fees, Banks Predict Meager Profits on P.P.P. Loans","Loath to be seen profiting from the economic disaster caused by the coronavirus, the nation’s biggest banks were quick to pledge that they would donate to charity any money earned from helping deliver the government’s signature small-business relief plan.",https://www.nytimes.com/2020/10/01/business/ppp-loans-bank-profits.html,-0.772085,0.47049,0.154046,0.017529,0.068231,0.188812,0.389565,0.198431,0.30177,0.056589,0.206573,0.10657
2020-10-01,The New York Times,"After 2 Years of Paralysis, Belgium Forms a (Very Fragile) Government","BRUSSELS — For nearly two years, Belgium has been without a formal government, leaving a country that was already divided by language and politics to endure a pandemic with lame-duck caretakers wielding emergency powers.",https://www.nytimes.com/2020/10/01/world/europe/belgium-government-coalition.html,-0.597614,0.228999,0.177824,0.032788,0.108682,0.063435,-0.773971,0.651144,0.024095,0.284036,0.172001,0.145083
2020-10-01,The New York Times,"Facing Grim Polls, Trump Leans Into Playing the Victim",[Follow our latest coverage of the Biden vs. Trump 2020 election.],https://www.nytimes.com/2020/10/01/us/politics/trump-polls-victim.html,-0.67442,0.368872,0.130213,0.089112,0.492832,0.072533,0.0,0.227488,0.065503,0.112038,0.022493,0.147882
2020-10-01,The New York Times,The Trump Debate Fallout,"Senate Republicans do the old dance around Trump and racism, while Biden presses his case in Ohio and Pennsylvania. Plus, a Q. and A. with Jim Rutenberg about his explosive voter-suppression investigation. It’s Thursday, and this is your politics tip sheet. Sign up here to get On Politics in your inbox every weekday.",https://www.nytimes.com/2020/10/01/us/politics/trump-debate.html,0.0,0.494645,0.049587,0.123372,0.341944,0.27197,-0.581098,0.239862,0.119414,0.065171,0.542714,0.168471
2020-10-01,The New York Times,"Airlines, Facing a Painfully Slow Recovery, Begin Furloughing Thousands","When Congress gave passenger airlines a $50 billion bailout in March, industry executives hoped the aid would tide them over until the fall, when more people might be traveling and a vaccine might be closer at hand. Several months later, that hopeful future remains extremely murky.",https://www.nytimes.com/2020/10/01/business/airline-furloughs-coronavirus-united-american.html,-0.923459,0.589948,0.170951,0.100936,0.059937,0.218463,-0.745318,0.403561,0.319805,0.161091,0.061766,0.065882
2020-10-01,The New York Times,China’s ‘Golden Week’ Kicks Off in Boost to Battered Tourism Industry,"Along the Great Wall, extra security guards have been deployed to deter rowdy tourists. Hotel bookings in Lhasa, the capital of Tibet, have risen 600 percent from the same period last year. In Wuhan, where the coronavirus outbreak began late last year, visitor demand for the city’s Yellow Crane Tower has been so high that the landmark sits atop a major travel agency’s list of the “Country’s Hottest Scenic Spots.”",https://www.nytimes.com/2020/10/01/world/asia/china-tourism-covid.html,0.543077,0.080705,0.688356,0.028989,0.031417,0.167604,0.280929,0.283372,0.461656,0.190409,0.028025,0.074882
2020-10-01,The New York Times,A study found the ‘single largest driver’ of coronavirus misinformation. It was the president.,"Of the flood of misinformation, conspiracy theories and falsehoods seeding the internet on the coronavirus, one common thread stands out: President Trump.",https://www.nytimes.com/2020/10/01/us/elections/a-study-found-the-single-largest-driver-of-coronavirus-misinformation-it-was-the-president.html,0.0,0.106045,0.421056,0.12936,0.03761,0.053266,-0.709688,0.366095,0.289135,0.19652,0.022696,0.220315
2020-10-01,The New York Times,"In Supreme Court Fight, McSally Sees a Chance to Reboot Her Senate Campaign","Shortly after the death of Justice Ruth Bader Ginsburg, people close to Senator Martha McSally, the imperiled Arizona Republican, began calling in to offer their advice.",https://www.nytimes.com/2020/10/01/us/politics/martha-mcsally-supreme-court.html,0.0,0.226808,0.079425,0.229619,0.463119,0.181715,0.0,0.574768,0.046784,0.029362,0.327873,0.252006
2020-10-01,The New York Times,E.U. Brings Suit Against U.K. on Eve of Crucial Trade Talks,LONDON — A decision by the European Commission on Thursday to press ahead with legal action against Britain over its plans to override parts of an agreement on withdrawal from the bloc raises the stakes at a critical moment in talks that will determine whether the two sides can avert an economically ruinous rupture. ,https://www.nytimes.com/2020/10/01/world/europe/eu-britain-brexit-legal-action.html,0.0,0.264871,0.41649,0.154239,0.07686,0.164455,-0.320146,0.194615,0.370142,0.079275,0.017511,0.247658
2020-10-01,The New York Times,"The White House press secretary declines to explicitly denounce white supremacy, saying the president has already done so.","Kayleigh McEnany, the White House press secretary, repeatedly refused to denounce white supremacy on Thursday, insisting that President Trump had already done so and angrily accusing the media of refusing to accept his answer.",https://www.nytimes.com/2020/10/01/us/elections/the-white-house-press-secretary-declines-to-explicitly-denounce-white-supremacy-saying-the-president-has-already-done-so.html,0.0,0.229,0.17098,0.106291,0.249411,0.393526,-0.87881,0.099154,0.012932,0.061525,0.415131,0.721359
2020-10-01,The New York Times,Take It or Leave It,Want this delivered to your inbox each day? Sign up here.,https://www.nytimes.com/2020/10/01/business/dealbook/palantir-direct-listing.html,0.0,0.566313,0.016939,0.147196,0.139035,0.260723,0.0,0.528118,0.0988,0.053083,0.033184,0.130914
